date,actual,forecast,previous
"Feb 26, 2026 ",,217,206
"Feb 19, 2026 ",206,223,229
"Feb 12, 2026",227,222,232
"Feb 5, 2026",231,212,209
"Jan 29, 2026",209,206,210
"Jan 22, 2026",200,209,199
"Jan 15, 2026",198,215,207
"Jan 8, 2026",208,213,200
"Dec 31, 2025",199,219,215
"Dec 24, 2025",214,224,224
"Dec 18, 2025",224,224,237
"Dec 11, 2025",236,220,192
"Dec 4, 2025",191,219,218
"Nov 26, 2025",216,226,222
"Nov 20, 2025",220,227,228
"Sep 25, 2025",218,233,232
"Sep 18, 2025",231,241,264
"Sep 11, 2025",263,235,236
"Sep 4, 2025",237,230,229
"Aug 28, 2025",229,231,234
"Aug 21, 2025",235,226,224
"Aug 14, 2025",224,225,227
"Aug 7, 2025",226,221,219
"Jul 31, 2025",218,222,217
"Jul 24, 2025",217,227,221
"Jul 17, 2025",221,233,228
"Jul 10, 2025",227,236,232
"Jul 3, 2025",233,240,237
"Jun 26, 2025",236,244,246
"Jun 18, 2025",245,246,250
"Jun 12, 2025",248,242,248
"Jun 5, 2025",247,236,239
"May 29, 2025",240,229,226
"May 22, 2025",227,230,229
"May 15, 2025",229,229,229
"May 8, 2025",228,231,241
"May 1, 2025",241,224,223
"Apr 24, 2025",222,222,216
"Apr 17, 2025",215,225,224
"Apr 10, 2025",223,223,219
"Apr 3, 2025",219,225,225
"Mar 27, 2025",224,225,225
"Mar 20, 2025",223,224,221
"Mar 13, 2025",220,226,222
"Mar 6, 2025",221,234,242
"Feb 27, 2025",242,222,220
"Feb 20, 2025",219,215,214
"Feb 13, 2025",213,217,220
"Feb 6, 2025",219,214,208
"Jan 30, 2025",207,224,223
"Jan 23, 2025",223,221,217
"Jan 16, 2025",217,210,203
"Jan 8, 2025",201,214,211
"Jan 2, 2025",211,222,220
"Dec 26, 2024",219,223,220
"Dec 19, 2024",220,229,242
"Dec 12, 2024",242,221,225
"Dec 5, 2024",224,215,215
"Nov 27, 2024",213,215,215
"Nov 21, 2024",213,220,219
"Nov 14, 2024",217,224,221
"Nov 7, 2024",221,223,218
"Oct 31, 2024",216,229,228
"Oct 24, 2024",227,243,242
"Oct 17, 2024",241,241,260
"Oct 10, 2024",258,231,225
"Oct 3, 2024",225,222,219
"Sep 26, 2024",218,224,222
"Sep 19, 2024",219,230,231
"Sep 12, 2024",230,227,228
"Sep 5, 2024",227,231,232
"Aug 29, 2024",231,232,233
"Aug 22, 2024",232,232,228
"Aug 15, 2024",227,236,234
"Aug 8, 2024",233,241,250
"Aug 1, 2024",249,236,235
"Jul 25, 2024",235,237,245
"Jul 18, 2024",243,229,223
"Jul 11, 2024",222,236,239
"Jul 3, 2024",238,234,234
"Jun 27, 2024",233,236,239
"Jun 20, 2024",238,235,243
"Jun 13, 2024",242,225,229
"Jun 6, 2024",229,220,221
"May 30, 2024",219,218,216
"May 23, 2024",215,220,223
"May 16, 2024",222,219,232
"May 9, 2024",231,212,209
"May 2, 2024",208,212,208
"Apr 25, 2024",207,214,212
"Apr 18, 2024",212,215,212
"Apr 11, 2024",211,216,222
"Apr 4, 2024",221,213,212
"Mar 28, 2024",210,212,212
"Mar 21, 2024",210,212,212
"Mar 14, 2024",209,218,210
"Mar 7, 2024",217,217,217
"Feb 29, 2024",215,209,202
"Feb 22, 2024",201,217,213
"Feb 15, 2024",212,219,220
"Feb 8, 2024",218,221,227
"Feb 1, 2024",224,213,215
"Jan 25, 2024",214,199,189
"Jan 18, 2024",187,206,203
"Jan 11, 2024",202,209,203
"Jan 4, 2024",202,217,220
"Dec 28, 2023",218,211,206
"Dec 21, 2023",205,214,203
"Dec 14, 2023",202,219,221
"Dec 7, 2023",220,221,219
"Nov 30, 2023",218,219,211
"Nov 22, 2023",209,226,233
