date,actual,forecast,previous
"Feb 26, 2026",,217,206
"Feb 19, 2026",206,225,229
"Feb 12, 2026",227,222,232
"Feb 05, 2026",231,212,209
"Jan 29, 2026",209,205,210
"Jan 22, 2026",200,212,199
"Jan 15, 2026",198,215,207
"Jan 08, 2026",208,210,200
"Dec 31, 2025",199,220,215
"Dec 24, 2025",214,223,224
"Dec 18, 2025",224,225,237
"Dec 11, 2025",236,220,192
"Dec 04, 2025",191,220,218
"Nov 26, 2025",216,225,222
"Nov 20, 2025",224,223,219
"Nov 20, 2025",235,227,224
"Nov 20, 2025",220,249,235
"Nov 20, 2025",220,257,232
"Nov 20, 2025",229,259,220
"Nov 20, 2025",228,260,229
"Nov 20, 2025",220,262,228
"Nov 18, 2025",232,223,219
"Sep 25, 2025",218,235,232
"Sep 18, 2025",231,240,264
"Sep 11, 2025",263,235,236
"Sep 04, 2025",237,230,229
"Aug 28, 2025",229,230,234
"Aug 21, 2025",235,225,224
"Aug 14, 2025",224,228,227
"Aug 07, 2025",226,221,219
"Jul 31, 2025",218,224,217
"Jul 24, 2025",217,227,221
"Jul 17, 2025",221,235,228
"Jul 10, 2025",227,235,232
"Jul 03, 2025",233,240,237
"Jun 26, 2025",236,245,246
"Jun 18, 2025",245,245,250
"Jun 12, 2025",248,240,248
"Jun 05, 2025",247,235,239
"May 29, 2025",240,230,226
"May 22, 2025",227,230,229
"May 15, 2025",229,229,229
"May 08, 2025",228,230,241
"May 01, 2025",241,224,223
"Apr 24, 2025",222,222,216
"Apr 17, 2025",215,225,224
"Apr 10, 2025",223,223,219
"Apr 03, 2025",219,225,225
"Mar 27, 2025",224,225,225
"Mar 20, 2025",223,224,221
"Mar 13, 2025",220,225,222
"Mar 06, 2025",221,235,242
"Feb 27, 2025",242,221,220
"Feb 20, 2025",219,215,214
"Feb 13, 2025",213,215,220
"Feb 06, 2025",219,213,208
"Jan 30, 2025",207,220,223
"Jan 23, 2025",223,220,217
"Jan 16, 2025",217,210,203
"Jan 08, 2025",201,218,211
"Jan 02, 2025",211,222,219
"Dec 26, 2024",219,224,220
"Dec 19, 2024",220,230,242
"Dec 12, 2024",242,220,225
"Dec 05, 2024",224,215,213
"Nov 27, 2024",213,216,213
"Nov 21, 2024",213,220,219
"Nov 14, 2024",217,223,221
"Nov 07, 2024",221,221,218
"Oct 31, 2024",216,230,228
"Oct 24, 2024",227,242,242
"Oct 17, 2024",241,260,260
"Oct 10, 2024",258,230,225
"Oct 03, 2024",225,220,219
"Sep 26, 2024",218,225,222
"Sep 19, 2024",219,230,231
"Sep 12, 2024",230,230,228
"Sep 05, 2024",227,230,232
"Aug 29, 2024",231,232,233
"Aug 22, 2024",232,230,228
"Aug 15, 2024",227,235,234
"Aug 08, 2024",233,240,250
"Aug 01, 2024",249,236,235
"Jul 25, 2024",235,238,245
"Jul 18, 2024",243,230,223
"Jul 11, 2024",222,236,239
"Jul 03, 2024",238,235,234
"Jun 27, 2024",233,236,239
"Jun 20, 2024",238,235,243
"Jun 13, 2024",242,225,229
"Jun 06, 2024",229,220,221
"May 30, 2024",219,218,216
"May 23, 2024",215,220,223
"May 16, 2024",222,220,232
"May 09, 2024",231,210,209
"May 02, 2024",208,212,208
"Apr 25, 2024",207,214,212
"Apr 18, 2024",212,215,212
"Apr 11, 2024",211,215,222
"Apr 04, 2024",221,214,212
"Mar 28, 2024",210,215,212
"Mar 21, 2024",210,215,212
"Mar 14, 2024",209,218,210
"Mar 07, 2024",217,215,217
"Feb 29, 2024",215,210,202
"Feb 22, 2024",201,218,213
"Feb 15, 2024",212,220,220
"Feb 08, 2024",218,220,227
"Feb 01, 2024",224,212,215
"Jan 25, 2024",214,200,189
"Jan 18, 2024",187,207,203
"Jan 11, 2024",202,210,203
"Jan 04, 2024",202,216,220
"Dec 28, 2023",218,210,206
"Dec 21, 2023",205,215,203
"Dec 14, 2023",202,220,221
"Dec 07, 2023",220,222,219
"Nov 30, 2023",218,220,211
"Nov 22, 2023",209,225,233
"Nov 16, 2023",231,220,218
"Nov 09, 2023",217,218,220
"Nov 02, 2023",217,210,212
"Oct 26, 2023",210,208,200
"Oct 19, 2023",198,212,211
"Oct 12, 2023",209,210,209
"Oct 05, 2023",207,210,205
"Sep 28, 2023",204,215,202
"Sep 21, 2023",201,225,221
"Sep 14, 2023",220,225,217
"Sep 07, 2023",216,234,229
"Aug 31, 2023",228,235,232
